№,BOOK ID,AUTHOR(S),BOOK NAME,PUBLISHER,YEAR,ISBN,LANGUAGE(S),GENRE(S),CONDITION (0-5),STATUS,REC CREATION DATE,REC UPDATE DATE,STORAGE CELL,QR LINK,IMAGE LINK
16,TL000000016,Маттиас де Леу,Ночной цирк,Самокат,2017,,рус,Детская литература,5,Available,01.12.2025,01.12.2025,IS1,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000016.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000016.jpg
17,TL000000017,Иван Барренетксеа,Ведьмочка. Приключение в лесу Террагрис,Поляндрия,2016,,рус,Художественная литература; Детская литература,5,Available,01.12.2025,01.12.2025,IS1,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000017.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000017.jpg
18,TL000000018,Петр Соха,Пчелы,Самокат,2017,,рус,Детская литература; Справочники и Энциклопедии,5,Available,01.12.2025,01.12.2025,IS1,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000018.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000018.jpg
19,TL000000019,Джеймс Уистлер,Изящное искусство создавать себе врагов,Ад Маргинем Пресс; Garage,2016,,рус,,5,Available,01.12.2025,01.12.2025,KS11,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000019.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000019.jpg
20,TL000000020,Джеймс Уистлер,Изящное искусство создавать себе врагов,Ад Маргинем Пресс; Garage,2016,,рус,,5,Available,01.12.2025,01.12.2025,KS11,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000020.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000020.jpg
21,TL000000021,Джеймс Уистлер,Изящное искусство создавать себе врагов,Ад Маргинем Пресс; Garage,2016,,рус,,5,Available,01.12.2025,01.12.2025,KS11,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000021.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000021.jpg
22,TL000000022,Энди Мерифилд,Критические биографии Ги Дебор,Ад Маргинем Пресс; Garage,2015,,рус,,5,Available,01.12.2025,01.12.2025,KS11,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000022.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000022.jpg
23,TL000000023,Энди Мерифилд,Критические биографии Ги Дебор,Ад Маргинем Пресс; Garage,2015,,рус,,5,Available,01.12.2025,01.12.2025,KS11,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000023.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000023.jpg
24,TL000000024,Энди Мерифилд,Критические биографии Ги Дебор,Ад Маргинем Пресс; Garage,2015,,рус,,5,Available,01.12.2025,01.12.2025,KS11,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000024.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000024.jpg
25,TL000000025,Энди Уорхол; Пэт Хэккет,Дневники Энди Уорхола,Ад Маргинем Пресс; Garage,2015,,рус,,5,Available,01.12.2025,01.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000025.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000025.jpg
26,TL000000026,Энди Уорхол; Пэт Хэккет,Дневники Энди Уорхола,Ад Маргинем Пресс; Garage,2015,,рус,,5,Available,01.12.2025,01.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000026.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000026.jpg
27,TL000000027,Жиль Делёз,Лекции о Лейбнице,Ад Маргинем Пресс; Garage,2015,,рус,,5,Available,01.12.2025,01.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000027.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000027.jpg
28,TL000000028,Жиль Делёз,Лекции о Лейбнице,Ад Маргинем Пресс; Garage,2015,,рус,,5,Available,01.12.2025,01.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000028.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000028.jpg
29,TL000000029,Лев Манович,Язык новых медиа,Ад Маргинем Пресс; Garage,2018,,рус,Нон фикшн; Медиа,5,Available,01.12.2025,01.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000029.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000029.jpg
30,TL000000030,Лев Манович,Язык новых медиа,Ад Маргинем Пресс; Garage,2018,,рус,Нон фикшн; Медиа,5,Available,01.12.2025,01.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000030.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000030.jpg
31,TL000000031,Розалинд Краусс,"""Путешествие по северному морю"": Искусство в эпоху постмедиальности",Ад Маргинем Пресс; Garage,2017,,рус,Нон фикшн; Искусство,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000031.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000031.png
32,TL000000032,Джон Бёрджер,Искусство и революция,Ад Маргинем Пресс; Garage,2018,,рус,Нон фикшн; Искусство,5,Available,02..12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000032.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000032.png
33,TL000000033,Mark Durden,Dorothea Lange,Phaidon,2001,,англ,Фотография,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000033.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000033.png
34,TL000000034,Йохан Идема,Как ходить в музей,Ад Маргинем Пресс; Garage,2016,,рус,Нон фикшн,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000034.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000034.png
35,TL000000035,Брассай,Разговоры с Пикассо,Ад Маргинем Пресс; Garage,2015,,рус,Нон фикшн,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000035.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000035.png
36,TL000000036,Энди Уорхол; Пэт Хэккет,Дневники Энди Уорхола,Ад Маргинем Пресс; Garage,2015,,рус,Нон фикшн; Искусство,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000036.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000036.png
37,TL000000037,Джон Бёрджер,Фотография и ее предназначения,Ад Маргинем Пресс; Garage,2017,,рус,Фотография,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000037.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000037.png
38,TL000000038,Вилем Флюссер,О Положении Вещей. Малая Философия Вещей,Ад Маргинем Пресс; Garage,2016,,рус,Дизайн,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000038.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000038.png
39,TL000000039,Вилем Флюссер,О Положении Вещей. Малая Философия Вещей,Ад Маргинем Пресс; Garage,2016,,рус,Дизайн,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000039.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000039.png
40,TL000000040,Вальтер Беньямин,Краткая история фотографии,Ад Маргинем Пресс; Garage,2017,,рус,Фотография,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000040.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000040.png
41,TL000000041,Вальтер Беньямин,Краткая история фотографии,Ад Маргинем Пресс; Garage,2017,,рус,Фотография,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000041.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000041.png
42,TL000000042,Жил Делёз,Лекции о Спинохе (1978-1981),Ад Маргинем Пресс; Garage,2016,,рус,Нон фикшн; Философия,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000042.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000042.png
43,TL000000043,Жиль Делёз,Лекции о Спинозе (1978-1981),Ад Маргинем Пресс; Garage,2016,,рус,Нон фикшн; Философия,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000043.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000043.png
44,TL000000044,Артур Клинов,Минск: Путеводитель по городу солнца,Ад Маргинем Пресс; Garage,2013,,рус,Нон фишкн; Проза,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000044.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000044.png
45,TL000000045,Артур Клинов,Минск: Путеводитель по городу солнца,Ад Маргинем Пресс; Garage,2013,,рус,Нон фикшн; Проза,5,Available,02.12.2025,02.12.2025,KS11,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000045.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000045.png
46,TL000000046,Кеннет Голдсмит,Избранные интервью Энди Уорхола (1962-1987): Я стану твоим зеркалом,Ад Маргинем Пресс; Garage,2016,,рус,Нон фикшн; Искусство,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000046.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000046.jpg
47,TL000000047,Кеннет Голдсмит,Избранные интервью Энди Уорхола (1962-1987): Я стану твоим зеркалом,Ад Маргинем Пресс; Garage,2016,,рус,Нон фикшн; Искусство,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000047.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000047.jpg
48,TL000000048,Кеннет Голдсмит,Избранные интервью Энди Уорхола (1962-1987): Я стану твоим зеркалом,Ад Маргинем Пресс; Garage,2016,,рус,Нон фикшн; Искусство,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000048.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000048.jpg
49,TL000000049,Ле Корбюзье,Когда соборы были белыми: Путешествие в край нерешительных людей,Ад Маргинем Пресс; Garage,2018,,рус,Нон фикшн; Искусство,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000049.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000049.jpg
50,TL000000050,Ле Корбюзье,Когда соборы были белыми: Путешествие в край нерешительных людей,Ад Маргинем Пресс; Garage,2018,,рус,Нон фикшн; Искусство,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000050.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000050.jpg
51,TL000000051,Александр Пшера,Интернет животных,Ад Маргинем Пресс; Garage,2017,,рус,Нон фикшн; Медиа,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000051.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000051.jpg
52,TL000000052,Александр Пшера,Интернет животных,Ад Маргинем Пресс; Garage,2017,,рус,Нон фикшн; Медиа,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000052.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000052.jpg
53,TL000000053,Пол О'Нил,Культура кураторства и кураторство культур(ы),Ад Маргинем Пресс; Garage,2015,,рус,Нон фикшн; Искусство,4,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000053.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000053.jpg
54,TL000000054,Терри Смит,Осмысляя современное кураторство,Ад Маргинем Пресс; Garage,2015,,рус,Нон фикшн; Искусство,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000054.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000054.jpg
55,TL000000055,Паскаль Гилен,"Бормотание художественного множества. Глобальное искусство, политика и постфордизм",Ад Маргинем Пресс; Garage,2015,,рус,Нон фикшн; Искусство,5,Available,02.12.2025,02.12.2025,KS21,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000055.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000055.jpg
56,TL000000056,Ana Mendieta,She Got Love,SKIRA,2013,,англ; итал,,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000056.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000056.jpg
57,TL000000057,Annette Messager,Exhibition. Exposition,HIRMER,2015,,нем; англ,Искусство,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000057.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000057.jpg
58,TL000000058,Бернард Бернсон,Живописцы Итальянского взрождения,Искусство,1965,,рус,Искусство; Журналы и Каталоги,4,FAO,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000058.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000058.jpg
59,TL000000059,Марк Сандерс; Mark Sanders,КУБА В РЕВОЛЮЦИИ. CUBA IN REVOLUTION,Арт Гид; Garage,2011,,рус; англ,Журналы и Каталоги; История,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000059.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000059.jpg
60,TL000000060,Oscar Gustave Rejlander; Оскар Густав Рейландер,Assembling Reality. Two Ways of Life. Монтриуя реальность. Два пути жизни,Арт Гид; Garage,2011,,рус; англ,Журналы и Каталоги; Искусство,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000060.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000060.jpg
61,TL000000061,Лена Евстафьева; Ольга Шелковникова; Lena Evstafieva; Olga Shelkovnikova,The New Decor,Айрис; Garage,2010,,рус; англ,Журналы и Каталоги; Дизайн,4,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000061.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000061.jpg
62,TL000000062,Саша Обухова,Перформанс в России: картография истории,Арт Гид; Garage,2014,,рус,Журналы и Каталоги; Искусство,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000062.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000062.jpg
63,TL000000063,Vaclav Macek,The History of European Photography 1990 - 1938,FOART,2014,,англ,Журналы и Каталоги; Фотография,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000063.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000063.jpg
64,TL000000064,,JEFF WALL. The Complete Edition,Phaidon,2009,,англ,Журналы и Каталоги; Фотография,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000064.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000064.jpg
65,TL000000065,Shumon Besar; Mercedes Daguerre; Luis Fernandez-Galiano; Bart Goldhoorn; Joseph Grima; Carlos Jimenez; Kengo Kuma; Andrew Mackenzie; Peter Cachola Schmal; Ai Weiwei,10 X 10 / 3. 100 of the world's best emerging architects chosen by 10 experts,Phaidon,2009,,англ,Журналы и Каталоги; Архитектура,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000065.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000065.jpg
66,TL000000066,Roger Ballen,Outland,Phaidon,2015,,англ,Журналы и Каталоги; Фотография,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000066.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000066.jpg
67,TL000000067,Hugh Pearman,Contemporary World Architecture,Phaidon,2002,,англ,Журналы и Каталоги; Архитектура,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000067.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000067.jpg
68,TL000000068,Bob Nickas,Painting Abstraction: New Elements in Abstract Painting,Phaidon,2014,,англ,Журналы и Каталоги; Искусство,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000068.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000068.jpg
69,TL000000069,Renzo Piano,On Tour with Renzo Piano,Phaidon,2004,,англ,Журналы и Каталоги; Архитектура,2,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000069.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000069.jpg
70,TL000000070,Jackie Higgins,David Bailey,Phaidon,2010,,англ,Биография; Фотография,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000070.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000070.jpg
71,TL000000071,Валерий Подорога; Александр Алексеев; Александр Бренер; Дмитрий Гутов; Татьяна Добер; Нина Котел; Владимир Куприянов; Юрий Лейдерман; Виктор Мизиано; Анатолий Осмоловский; Елена Петровская; Гия Ригвава; Владимир Сальников,Мастерская визуальной антропологии,Художественный Журнал,2000,,англ,Журналы и Каталоги; Искусство,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000071.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000071.jpg
72,TL000000072,Кейт Фаул; Рут Эддисон,Открытие России. Десятилетие нового интернационала: 1986 - 1996,Арт Гид; Garage; Айрис,2016,,рус,Журналы и Каталоги; История; Нон фикшн,5,Available,03.12.2025,03.12.2025,KS31,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000072.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000072.jpg
73,TL000000073,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000073.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000073.jpg
74,TL000000074,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000074.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000074.jpg
75,TL000000075,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000075.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000075.jpg
76,TL000000076,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000076.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000076.jpg
77,TL000000077,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000077.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000077.jpg
78,TL000000078,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000078.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000078.jpg
79,TL000000079,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000079.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000079.jpg
80,TL000000080,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000080.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000080.jpg
81,TL000000081,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000081.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000081.jpg
82,TL000000082,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000082.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000082.jpg
83,TL000000083,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000083.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000083.jpg
84,TL000000084,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000084.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000084.jpg
85,TL000000085,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000085.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000085.jpg
86,TL000000086,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000086.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000086.jpg
87,TL000000087,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000087.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000087.jpg
88,TL000000088,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000088.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000088.jpg
89,TL000000089,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000089.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000089.jpg
90,TL000000090,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000090.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000090.jpg
91,TL000000091,,,,,,,,,,,,,C:\Users\Atelier1\Desktop\setup\library setup\TQR\TL000000091.png,C:\Users\Atelier1\Desktop\setup\library setup\book images\TL000000091.jpg
